keyword,timestamp,pos1,pos2,neg1,neg2,new1,new2
happen,2019-07-23 19:00:49.446887,"['happens', 'know', 'happened', 'say', 'something']","['mapasamak', 'ibaga', 'panagpungtotmo', 'malasatanyo', 'sagabaen', 'nalpas']",[],[],[],['nalpas']
throat,2019-07-23 19:01:11.506020,"['belly', 'chest', 'stomach', 'coughing', 'nose']","['buteg', 'gurigor', 'susuop', 'sugat']",[],['mabibineg'],[],[]
tube,2019-07-23 19:01:37.948181,"['pumping', 'beam', 'thin', 'barrel']","['temperature', 'panangitalmeg']",['nipple'],"['room', 'matris', 'ipaburek']",[],[]
reduce,2019-07-23 19:02:03.603401,"['reducing', 'increase', 'reduction', 'decrease', 'increases']","['maliklikan', 'mangapektar', 'ipangato', 'gastos', 'bawas']",[],['batayan'],[],['bawas']
tuberculosis,2019-07-23 19:02:19.970959,"['typhoid', 'cholera', 'influenza', 'diphtheria', 'polio']","['sakit', 'maagasan', 'doktor', 'nars', 'agas']",[],[],[],[]
lives,2019-07-23 19:02:46.903895,"['life', 'lived', 'living', 'childhood', 'dying']","['natagiragsak', 'trahedia', 'agtaltalinaedda', 'natay', 'biag']",[],"['pagungaren', 'napadasan']",[],"['natay', 'biag']"
innocent,2019-07-23 19:03:08.316028,"['guilty', 'cruel', 'murder', 'premeditated', 'condemn']","['nakabasol', 'manangidumduma', 'nakaaramid', 'mapabasol', 'mapakawan']",[],[],[],[]
plague,2019-07-23 19:03:34.413719,"['epidemic', 'epidemics', 'cholera', 'typhoid', 'famine']","['bisin', 'nakaro', 'kinadakes', 'agwaras']",[],"['iyaatake', 'pinaimbag']",[],['agwaras']
both,2019-07-23 19:03:57.672925,"['other', 'two', 'additionally', 'these', 'many']","['ken', 'dadduma', 'dua', 'uppat', 'amin']",[],['nangipuesto'],[],['amin']
came,2019-07-23 19:04:33.621351,"['brought', 'went', 'took', 'coming']","['nagsubli', 'idi', 'kinuna', 'inayabanna', 'kalpasan']",['turned'],[],[],[]
typhoid,2019-07-23 19:05:41.955818,"['cholera', 'tuberculosis', 'diphtheria', 'measles', 'epidemic']","['sakit', 'nakaro', 'bisin', 'tuko', 'cancer']",[],[],[],[]
clotting,2019-07-23 19:06:04.673804,"['thyroid', 'hypertension', 'liver', 'hormone', 'antibiotics']","['selula', 'utek', 'blood']",[],"['dalem', 'lactose']",[],[]
taken,2019-07-23 19:06:39.552544,"['taking', 'put', 'took', 'take', 'claimed']","['napanda', 'kinemmegda', 'nailugan', 'inyaspingna', 'impanda']",[],[],[],[]
heavily,2019-07-23 19:07:22.687914,"['largely', 'mostly', 'partly', 'while', 'highly']","['dimmakkel', 'inikkatko', 'dagsen']",[],"['pagparangen', 'isu', 'matartarimaan']",[],['dagsen']
worst,2019-07-23 19:07:44.514992,"['horrible', 'worse', 'terrible', 'disaster', 'biggest']","['nakarkaro', 'didigra', 'dimmalapus', 'epekto', 'kakaruan', 'bagyo']",[],[],[],['bagyo']
killed,2019-07-23 19:08:05.607599,"['wounded', 'killing', 'kidnapped', 'injuring', 'escaped']","['napapatay', 'pinapatay', 'natay', 'nakalasat', 'inispal']",[],[],[],[]
ebola,2019-07-23 19:08:18.880587,"['dengue', 'zika', 'hiv/aids', 'hiv', 'malaria']","['sakit', 'dengue', 'agas', 'flu', 'bakuna']",[],[],[],[]
terrorist,2019-07-23 19:08:37.342929,"['terrorists', 'jihadist', 'terror', 'militants', 'taliban']","['naglalaban', 'krimen', 'naranggas', 'dyurnalista']",[],['gang'],[],[]
deaths,2019-07-23 19:09:00.579022,"['fatalities', 'incidents', 'victims', 'fatal', 'killed']","['aksidente', 'matmatay', 'nakatayan', 'mapasaran', 'nakaro']",[],[],[],[]
somalia,2019-07-23 19:09:28.182274,"['eritrea', 'djibouti', 'yemen', 'mogadishu', 'ethiopia']","['kasasaad', 'pagilian', 'globalisasyon', 'rutinayo', 'entero']",[],[],[],[]
prevent,2019-07-23 19:10:02.072425,"['avoid', 'protect', 'reduce', 'causing', 'cause']","['mangpakapuy', 'madangrantayo', 'manglapped', 'sardengan']",[],"['mailinteg', 'kinamanagsakripisiotayo']",[],['sardengan']
